1,0,START,,20:20:00,,#ŽÀŒ±ŠJŽn
223,1,R2_CHECK2,REMOVE_STOP,20:42:00,,#
224,1,R2_CHECK2,ADD_STOP,20:43:00,,#
225,1,R2_CHECK2,REMOVE_STOP,20:46:00,,#
226,1,R2_CHECK2,ADD_STOP,20:47:00,,#
227,1,R2_CHECK2,REMOVE_STOP,20:50:00,,#
228,1,R2_CHECK2,ADD_STOP,20:51:00,,#
229,1,R2_CHECK2,REMOVE_STOP,20:54:00,,#
230,1,R2_CHECK2,ADD_STOP,20:55:00,,#
231,1,R2_CHECK2,REMOVE_STOP,20:58:00,,#
232,1,R2_CHECK2,ADD_STOP,20:59:00,,#
233,1,R2_CHECK2,REMOVE_STOP,21:02:00,,#
234,1,R2_CHECK2,ADD_STOP,21:03:00,,#
235,1,R2_CHECK2,REMOVE_STOP,21:06:00,,#
236,1,R2_CHECK2,ADD_STOP,21:07:00,,#
237,1,R2_CHECK2,REMOVE_STOP,21:10:00,,#
238,1,R2_CHECK2,ADD_STOP,21:11:00,,#
239,1,R2_CHECK2,REMOVE_STOP,21:14:00,,#
240,1,R2_CHECK2,ADD_STOP,21:15:00,,#
241,1,R2_CHECK2,REMOVE_STOP,21:18:00,,#
242,1,R2_CHECK2,ADD_STOP,21:19:00,,#
243,1,R2_CHECK2,REMOVE_STOP,21:22:00,,#
244,1,R2_CHECK2,ADD_STOP,21:23:00,,#
245,1,R2_CHECK2,REMOVE_STOP,21:26:00,,#
246,1,R2_CHECK2,ADD_STOP,21:27:00,,#
247,1,R2_CHECK2,REMOVE_STOP,21:30:00,,#
248,1,R2_CHECK2,ADD_STOP,21:31:00,,#
249,1,R2_CHECK2,REMOVE_STOP,21:34:00,,#
250,1,R2_CHECK2,ADD_STOP,21:35:00,,#
251,1,R2_CHECK2,REMOVE_STOP,21:38:00,,#
252,1,R2_CHECK2,ADD_STOP,21:39:00,,#
253,1,R2_CHECK2,REMOVE_STOP,21:42:00,,#
254,1,R2_CHECK2,ADD_STOP,21:43:00,,#
255,1,R2_CHECK2,REMOVE_STOP,21:46:00,,#
256,1,R2_CHECK2,REMOVE_STOP,21:47:00,,#
257,1,R2_CHECK2,ADD_STOP,21:50:00,,#
258,1,R2_CHECK2,REMOVE_STOP,21:51:00,,#
259,1,R2_CHECK2,ADD_STOP,21:54:00,,#
260,1,R2_CHECK2,REMOVE_STOP,21:55:00,,#
261,1,R2_CHECK2,ADD_STOP,21:58:00,,#
262,1,R2_CHECK2,REMOVE_STOP,21:59:00,,#
263,1,R2_CHECK2,ADD_STOP,22:02:00,,#
264,1,R2_CHECK2,REMOVE_STOP,22:03:00,,#
265,1,R2_CHECK2,ADD_STOP,22:06:00,,#
266,1,R2_CHECK2,REMOVE_STOP,22:07:00,,#
267,1,R2_CHECK2,ADD_STOP,22:10:00,,#
268,1,R2_CHECK2,REMOVE_STOP,22:11:00,,#
269,1,R2_CHECK2,REMOVE_STOP,22:14:00,,#
270,1,R2_CHECK2,ADD_STOP,22:15:00,,#
271,1,R2_CHECK2,REMOVE_STOP,22:18:00,,#
272,1,R2_CHECK2,ADD_STOP,22:19:00,,#
273,1,R2_CHECK2,REMOVE_STOP,22:22:00,,#
274,1,R2_CHECK1,ADD_STOP,20:33:30,,#
275,1,R2_CHECK1,REMOVE_STOP,20:36:30,,#
276,1,R2_CHECK1,ADD_STOP,20:37:30,,#
277,1,R2_CHECK1,REMOVE_STOP,20:40:30,,#
278,1,R2_CHECK1,ADD_STOP,20:41:30,,#
279,1,R2_CHECK1,REMOVE_STOP,20:44:30,,#
280,1,R2_CHECK1,ADD_STOP,20:45:30,,#
281,1,R2_CHECK1,REMOVE_STOP,20:48:30,,#
282,1,R2_CHECK1,ADD_STOP,20:49:30,,#
283,1,R2_CHECK1,REMOVE_STOP,20:52:30,,#
284,1,R2_CHECK1,ADD_STOP,20:53:30,,#
285,1,R2_CHECK1,REMOVE_STOP,20:56:30,,#
286,1,R2_CHECK1,ADD_STOP,20:57:30,,#
287,1,R2_CHECK1,REMOVE_STOP,21:00:30,,#
288,1,R2_CHECK1,ADD_STOP,21:01:30,,#
289,1,R2_CHECK1,REMOVE_STOP,21:04:30,,#
290,1,R2_CHECK1,ADD_STOP,21:05:30,,#
291,1,R2_CHECK1,REMOVE_STOP,21:08:30,,#
292,1,R2_CHECK1,ADD_STOP,21:09:30,,#
293,1,R2_CHECK1,REMOVE_STOP,21:12:30,,#
